CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2020 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of .GDP ;Country;Population (Millions);GDP (Billions. PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
1;Afghanistan;Afghanistan;Asia-Pacific;136;33;54.7;48.3;30.0;24.8;91.4;79.2;99.9;54.7;61.6;81;66.0;10;10;7.0;20.0;20.0;7.6;26.3;Afghanistan;36.0;$72.6 ;2.3;2.2;$2.017;1.5;0.6;139.2;7.1
2;Albania;Albania;Europe;57;30;66.9;57.1;33.0;38.8;85.9;74.6;86.3;65.7;52.1;81.2;88.4;70;70;0.8;23.0;15.0;25.7;29.1;Albania;2.9;$38.4 ;4.2;3.1;$13.345;13.9;2.0;1.293.6;68.6
3;Algeria;Algeria;Middle East and North Africa;169;14;46.9;37.9;35.0;28.3;75.4;52.6;17.3;63.0;50.5;76.2;66.2;30;30;9.4;35.0;23.0;26.6;39.8;Algeria;42.6;$657.5 ;2.1;2.8;$15.440;12.2;4.3;1.506.3;36.9
4;Angola;Angola;Sub-Saharan Africa;154;35;52.2;36.9;14.3;15.1;87.3;85.7;71.9;57.7;61.1;59.6;66.2;30;40;9.4;17.0;30.0;9.2;21.8;Angola;29.3;$199.3 ;-1.7;0.3;$6.814;7.3;19.6;-5.732.5;88.1
5;Argentina;Argentina;Americas;149;26;53.1;50.5;47.0;49.7;69.6;50.7;24.7;60.2;46.5;53.7;69.2;55;60;7.9;35.0;30.0;30.3;40.5;Argentina;44.6;$915.1 ;-2.5;-0.3;$20.537;9.5;34.3;12.161.8;86.3
6;Armenia;Armenia;Europe;34;18;70.6;60.7;54.1;43.4;84.9;80.6;68.8;81.0;72.5;76.0;80.6;75;70;2.2;26.0;20.0;20.8;25.4;Armenia;3.0;$30.4 ;5.0;3.9;$10.176;17.7;2.5;254.3;48.5
7;Australia;Australia;Asia-Pacific;4;4;82.6;82.8;86.1;89.3;63.0;61.6;91.8;87.8;84.0;86.2;88.2;80;90;0.9;45.0;30.0;27.8;35.8;Australia;25.2;$1.318.2 ;2.8;2.6;$52.373;5.4;2.0;60.438.1;40.7
8;Austria;Austria;Europe;29;16;73.3;87.3;73.2;84.0;51.3;27.2;87.9;73.0;68.3;81.0;86.4;90;70;1.8;50.0;25.0;41.8;49.3;Austria;8.9;$463.2 ;2.7;1.8;$52.137;4.8;2.1;7.618.2;74.2
9;Azerbaijan;Azerbaijan;Europe;44;24;69.3;67.1;53.9;38.7;88.0;63.0;99.2;80.8;66.2;69.8;74.6;70;60;5.2;25.0;20.0;13.3;35.1;Azerbaijan;9.9;$179.7 ;1.4;0.4;$18.076;5.2;2.3;1.403.0;19.4
10;Bahamas;Bahamas;Americas;69;13;64.5;54.9;46.4;46.0;96.8;87.4;69.2;69.0;70.0;76.3;47.8;50;60;18.6;0.0;0.0;17.9;20.5;Bahamas;0.4;$12.6 ;2.3;0.6;$33.494;11.9;2.2;942.8;61.0
